,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
116,Lucas Digne\1b84dbe1,fr FRA,DF,Aston Villa,28-206,1993,3.0,6,4,3,2,1,2,2,100.0,0,36,10,27.8,17,10,9,2,0,0,2,6,12,12,0,Matches
117,Lucas Digne\1b84dbe1,fr FRA,DF,Everton,28-206,1993,13.0,35,17,26,5,4,22,30,73.3,8,161,43,26.7,80,50,31,28,5,0,23,31,66,30,0,Matches
118,Virgil van Dijk\e06683ca,nl NED,DF,Liverpool,30-218,1991,21.0,15,9,8,6,1,8,9,88.9,1,67,21,31.3,35,27,5,21,13,0,8,32,47,95,0,Matches
119,Issa Diop\a712ca2b,fr FRA,DF,West Ham,25-033,1997,8.0,7,2,4,3,0,1,8,12.5,7,45,16,35.6,32,13,0,14,9,0,5,11,18,30,0,Matches
120,Moussa Djenepo\254147d4,ml MLI,MF,Southampton,23-241,1998,4.8,13,8,6,6,1,5,11,45.5,6,100,25,25.0,46,36,18,9,1,0,8,9,22,3,0,Matches
121,Lewis Dobbin\e814e1cf,eng ENG,FWMF,Everton,19-039,2003,0.4,2,2,0,1,1,0,2,0.0,2,18,5,27.8,4,6,8,0,0,0,0,1,3,0,0,Matches
122,Matt Doherty\d557d734,ie IRL,DFMF,Tottenham,30-026,1992,2.6,7,4,2,5,0,3,6,50.0,3,41,12,29.3,16,22,3,5,0,0,5,3,10,4,0,Matches
123,Gabriel Dos Santos\67ac5bb8,br BRA,DF,Arsenal,24-054,1997,18.4,28,20,21,5,2,10,17,58.8,7,114,45,39.5,70,39,5,25,16,0,9,22,50,77,2,Matches
124,Abdoulaye Doucouré\02b29014,fr FRA,MF,Everton,29-041,1993,15.7,36,21,15,19,2,17,41,41.5,24,347,97,28.0,134,152,61,19,2,0,17,27,63,18,0,Matches
125,Kieran Dowell\2f6ec02a,eng ENG,FWMF,Norwich City,24-124,1997,3.8,10,4,4,4,2,5,14,35.7,9,115,22,19.1,29,51,35,5,1,0,4,1,11,2,0,Matches
126,Cody Drameh\e0d1510a,eng ENG,DF,Leeds United,20-065,2001,1.4,6,3,4,2,0,2,4,50.0,2,29,8,27.6,16,10,3,2,0,0,2,3,9,2,0,Matches
