,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
108,Riccardo Ciervo\da77b60b,it ITA,MFDF,Sampdoria,19-316,2002,2.5,94,2,19,40,45,8,90,2,3,66.7,2,0,65,550,314,17,5,2,3,3,82,59,72.0,12,Matches
109,Giorgio Cittadini\e4ba67f2,it ITA,DF,Atalanta,19-299,2002,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Matches
110,Ebrima Colley\bf356094,gm GAM,FWMF,Spezia,22-010,2000,4.0,185,4,28,95,83,8,179,10,20,50.0,13,1,140,903,506,26,11,3,12,6,175,132,75.4,17,Matches
111,Omar Colley\8b95acda,gm GAM,DF,Sampdoria,29-110,1992,17.5,987,194,600,399,31,14,942,3,3,100.0,3,0,498,2808,1462,32,3,0,4,0,532,509,95.7,2,Matches
112,Andrea Consigli\8cabdc1e,it ITA,GK,Sassuolo,35-015,1987,23.0,989,821,988,9,0,0,756,0,0,,0,0,522,2689,1886,0,0,0,0,0,542,542,100.0,0,Matches
113,Andrea Conti\8fef5412,it ITA,DF,Sampdoria,27-346,1994,0.5,22,4,12,6,4,1,20,0,0,,0,0,5,12,2,0,0,0,1,0,15,8,53.3,1,Matches
114,Andrea Conti\8fef5412,it ITA,DF,Milan,27-346,1994,0.1,6,0,3,2,1,0,5,0,0,,0,0,3,3,0,0,0,0,0,0,3,3,100.0,0,Matches
115,Diego Coppola\22ae86f9,it ITA,DF,Hellas Verona,18-045,2003,0.1,4,4,4,0,0,0,4,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,Matches
116,Joaquín Correa\45b9b619,ar ARG,FW,Inter,27-182,1994,6.1,251,2,10,94,167,47,247,4,12,33.3,6,1,200,1267,812,45,12,13,16,10,266,198,74.4,49,Matches
117,Lassana Coulibaly\85a44ecc,ml MLI,MF,Salernitana,25-307,1996,13.5,537,38,147,301,136,7,532,17,27,63.0,17,0,358,2524,1268,52,15,0,11,9,360,310,86.1,14,Matches
118,Mamadou Coulibaly\c976160c,sn SEN,MFFW,Salernitana,23-008,1999,8.2,396,17,104,210,121,13,393,14,17,82.4,14,1,266,1701,827,35,17,3,10,16,282,219,77.7,24,Matches
119,Alessio Cragno\f554e29b,it ITA,GK,Cagliari,27-228,1994,21.0,778,686,776,3,0,0,520,0,0,,0,0,340,1763,1087,0,0,0,0,0,316,314,99.4,0,Matches
120,Domenico Criscito\35dd6d80,it ITA,DF,Genoa,35-043,1986,14.4,962,104,407,455,162,12,855,5,7,71.4,5,0,545,3008,1720,56,23,1,7,6,536,523,97.6,3,Matches
121,Bryan Cristante\16657b95,it ITA,MF,Roma,26-345,1995,18.8,1286,59,323,841,200,27,1241,11,14,78.6,12,0,812,4202,1938,81,23,0,6,17,919,880,95.8,14,Matches
122,Domen Črnigoj\22cd43d2,si SVN,MF,Venezia,26-085,1995,12.1,573,33,173,278,163,21,566,5,12,41.7,5,1,344,1802,855,37,13,6,16,17,440,370,84.1,32,Matches
123,Giovanni Crociata\8c964914,it ITA,FW,Empoli,24-184,1997,0.2,11,0,0,4,8,1,11,0,1,0.0,0,0,9,83,38,2,0,0,0,0,10,9,90.0,0,Matches
