,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
564,Kelvin Yeboah\ea0893d6,it ITA,FW,Genoa,21-281,2000,2.4,5,4,4,1,0,4,6,66.7,2,44,11,25.0,7,17,20,5,0,0,5,1,6,2,0,Matches
565,Gerard Yepes\ee9040b4,es ESP,MFDF,Sampdoria,19-170,2002,0.2,0,0,0,0,0,0,0,,0,6,1,16.7,2,4,0,1,0,0,1,1,1,0,0,Matches
566,Maya Yoshida\caffaf5a,jp JPN,DF,Sampdoria,33-171,1988,16.6,17,11,8,9,0,7,18,38.9,11,126,37,29.4,52,69,5,27,12,1,15,41,58,66,0,Matches
567,Mattia Zaccagni\d85c238b,it ITA,FW,Lazio,26-240,1995,9.3,19,13,7,9,3,6,12,50.0,6,139,44,31.7,34,55,50,18,1,0,17,11,30,2,0,Matches
568,Mattia Zaccagni\d85c238b,it ITA,MFFW,Hellas Verona,26-240,1995,2.0,3,2,1,0,2,0,2,0.0,2,19,4,21.1,2,4,13,2,0,0,2,3,6,0,0,Matches
569,Denis Zakaria\384d58d9,ch SUI,MF,Juventus,25-083,1996,0.9,2,0,0,2,0,0,0,,0,16,3,18.8,4,11,1,1,1,0,0,7,9,1,0,Matches
570,Nicola Zalewski\45191c29,pl POL,FWDF,Roma,20-019,2002,0.2,0,0,0,0,0,0,0,,0,2,1,50.0,1,0,1,0,0,0,0,0,0,0,0,Matches
571,Andre-Frank Zambo Anguissa\6bb2c084,cm CMR,MF,Napoli,26-087,1995,13.1,29,20,12,12,5,11,32,34.4,21,254,81,31.9,70,127,57,16,1,0,15,25,54,20,0,Matches
572,Nicolò Zaniolo\9907b1c8,it ITA,FW,Roma,22-224,1999,16.5,23,10,3,13,7,4,12,33.3,8,289,77,26.6,35,148,106,12,0,0,12,12,35,6,0,Matches
573,Alessandro Zanoli\3b12b11f,it ITA,DFMF,Napoli,21-131,2000,0.2,0,0,0,0,0,0,0,,0,4,0,0.0,1,2,1,0,0,0,0,0,0,0,0,Matches
574,Mattia Zanotti\875d65d1,it ITA,DF,Inter,19-031,2003,0.1,0,0,0,0,0,0,0,,0,4,0,0.0,3,0,1,0,0,0,0,0,0,0,0,Matches
575,Duván Zapata\d3de9af0,co COL,FW,Atalanta,30-316,1991,13.4,3,2,1,1,1,1,3,33.3,2,116,33,28.4,8,39,69,11,3,0,8,6,9,7,0,Matches
576,Gabriele Zappa\ca3db240,it ITA,DF,Cagliari,22-051,1999,11.0,14,8,5,6,3,5,15,33.3,10,196,50,25.5,76,91,29,22,5,0,17,23,37,14,0,Matches
