,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
98,Diogo Dalot\d9565625,pt POR,DF,Manchester Utd,22-330,1999,9.1,525,420,105,5,1,76,29,27,2,0,2,0,264,117,144,45,344,23,98,1,410,1,10,20,16,Matches
99,Karl Darlow\cde3309f,eng ENG,GK,Newcastle Utd,31-126,1990,8.0,253,152,101,37,0,16,19,0,0,0,0,0,70,12,171,10,198,0,0,29,152,1,7,1,1,Matches
100,Josh Dasilva\60344e4f,eng ENG,MFFW,Brentford,23-111,1998,0.3,10,9,1,0,0,4,0,1,0,0,0,0,6,0,4,7,2,1,0,0,8,0,0,1,0,Matches
101,Ben Davies\44781702,wls WAL,DF,Tottenham,28-293,1993,11.3,596,557,39,9,0,68,6,7,0,0,0,0,417,68,111,427,85,30,30,0,484,0,9,16,15,Matches
102,Tom Davies\9228b07c,eng ENG,MF,Everton,23-226,1998,1.8,59,58,1,0,0,19,2,0,0,0,0,0,42,12,5,14,42,0,0,0,46,1,4,0,4,Matches
103,Keinan Davis\9deaf2c8,eng ENG,FW,Aston Villa,23-363,1998,0.1,3,3,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,0,0,3,0,0,0,0,Matches
104,Craig Dawson\3e9e06cb,eng ENG,DF,West Ham,31-281,1990,17.9,729,710,19,18,0,101,15,1,0,0,0,0,480,91,158,30,599,50,1,9,595,2,18,15,7,Matches
105,Kevin De Bruyne\e46012d4,be BEL,MF,Manchester City,30-228,1991,13.2,852,769,83,28,7,113,42,53,46,19,6,5,619,82,151,90,732,17,8,1,648,5,16,44,29,Matches
106,Troy Deeney\82e34b69,eng ENG,FW,Watford,33-227,1988,0.3,6,6,0,0,0,1,0,0,0,0,0,0,1,4,1,0,3,2,0,0,3,0,0,0,0,Matches
107,Fabian Delph\111c3236,eng ENG,MF,Everton,32-082,1989,2.8,125,122,3,2,0,31,4,1,0,0,0,0,93,10,22,76,43,5,1,0,106,0,1,1,2,Matches
108,Leander Dendoncker\5a7301ae,be BEL,MF,Wolves,26-302,1995,10.8,399,392,7,6,0,63,7,4,0,0,0,0,303,49,47,62,291,24,1,2,349,0,0,13,4,Matches
109,Emmanuel Dennis\2c44a35d,ng NGA,FWMF,Watford,24-088,1997,17.3,381,363,18,0,1,108,6,19,5,1,2,0,240,98,43,45,286,12,2,6,251,3,8,21,28,Matches
110,Kiernan Dewsbury Hall\5c74c0f5,eng ENG,MF,Leicester City,23-158,1998,7.8,421,411,10,2,0,88,7,15,4,4,0,0,318,50,53,353,44,17,3,0,330,1,12,14,13,Matches
111,Ibrahima Diallo\11ff3d56,fr FRA,MF,Southampton,22-340,1999,8.2,335,333,2,2,1,63,2,3,0,0,0,0,270,29,36,33,283,15,0,0,277,1,5,14,9,Matches
112,Raphael Dias Belloli\3423f250,br BRA,MFFW,Leeds United,25-059,1996,19.0,747,638,109,30,3,104,47,54,57,37,11,1,428,117,202,631,68,6,20,10,479,0,18,45,34,Matches
113,Rúben Dias\31c69ef1,pt POR,DF,Manchester City,24-273,1997,20.7,1687,1645,42,30,1,109,38,5,0,0,0,0,1460,77,150,264,1335,50,11,3,1588,1,13,12,8,Matches
114,Luis Díaz\4a1a9578,co COL,FW,Liverpool,25-029,1997,1.0,46,46,0,0,0,11,0,4,0,0,0,0,38,3,5,7,37,0,0,1,40,0,0,0,0,Matches
115,Eric Dier\ac861941,eng ENG,DF,Tottenham,28-027,1994,18.1,1062,1035,27,22,3,95,26,0,0,0,0,0,795,73,194,145,824,63,2,0,933,5,14,15,8,Matches
116,Lucas Digne\1b84dbe1,fr FRA,DF,Aston Villa,28-206,1993,3.0,160,117,43,2,0,22,4,9,5,2,2,0,72,48,40,104,4,11,36,0,114,0,5,7,5,Matches
117,Lucas Digne\1b84dbe1,fr FRA,DF,Everton,28-206,1993,13.0,678,515,163,23,0,90,16,34,21,2,14,1,335,140,203,464,29,47,119,2,487,3,19,26,35,Matches
118,Virgil van Dijk\e06683ca,nl NED,DF,Liverpool,30-218,1991,21.0,1503,1447,56,51,0,114,59,0,0,0,0,0,1167,110,226,236,1124,82,5,8,1366,0,12,11,6,Matches
119,Issa Diop\a712ca2b,fr FRA,DF,West Ham,25-033,1997,8.0,308,302,6,4,0,33,3,1,0,0,0,0,227,21,60,68,211,20,0,1,262,0,6,3,0,Matches
120,Moussa Djenepo\254147d4,ml MLI,MF,Southampton,23-241,1998,4.8,136,135,1,1,0,24,1,6,0,0,0,0,95,20,21,22,108,4,0,0,100,0,3,5,9,Matches
121,Lewis Dobbin\e814e1cf,eng ENG,FWMF,Everton,19-039,2003,0.4,7,7,0,0,0,2,0,1,0,0,0,0,4,2,1,0,7,0,0,0,4,0,0,1,0,Matches
122,Matt Doherty\d557d734,ie IRL,DFMF,Tottenham,30-026,1992,2.6,143,121,22,2,0,25,4,6,0,0,0,0,89,30,24,8,102,6,20,0,112,0,0,8,4,Matches
